,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Bob Seger,Ramblin' Gamblin' Man,1gZOnv0YjmFIM2oXVin9ZR,16,0.61,0.864,9,-3.77,1,0.0514,0.0207,0.0,0.0569,0.875,130.577,145311,4
1,The Rolling Stones,"Paint It, Black - Mono",1RJeiAIwR9pZBgJA8ndZLL,67,0.505,0.836,5,-7.384,0,0.101,0.0103,0.0771,0.295,0.764,159.669,204480,4
2,The Doors,Light My Fire,5uvosCdMlFdTXhoazkTI5R,73,0.413,0.725,3,-5.787,0,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,429760,4
3,AC/DC,Back In Black,08mG3Y1vljYA6bvDt4Wqkj,84,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,4
4,The Clash,Should I Stay or Should I Go - Remastered,39shmbIHICJ2Wxnk1fPSdz,80,0.742,0.833,2,-6.463,1,0.115,0.079,0.0,0.384,0.816,113.375,188987,4
5,Led Zeppelin,Ramble On - 1990 Remaster,3MODES4TNtygekLl146Dxd,71,0.468,0.607,9,-11.367,1,0.0336,0.072,0.000852,0.225,0.886,98.429,263333,4
6,Pink Floyd,Money - 2011 Remastered Version,3aoDEt6zSuYQ47gzarlaVo,17,0.469,0.537,9,-10.421,1,0.152,0.0241,0.00201,0.269,0.783,124.193,382834,1
7,The Allman Brothers Band,Ramblin' Man,41aOyMZXFwvwRpugIlNCGF,16,0.311,0.832,1,-8.29,1,0.0357,0.486,0.00128,0.235,0.933,178.873,288160,4
8,The Beatles,Come Together - Remastered 2009,2EqlS6tkEnglzr7tkKAAYD,80,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,259947,4
9,David Bowie,Rebel Rebel - 1999 Remaster,66lOpKgTyFjOrac4S1s94g,24,0.676,0.92,9,-7.96,1,0.0435,0.00101,8.65e-06,0.248,0.624,126.341,269360,4
10,Eagles,Life in the Fast Lane - 2013 Remaster,6gXrEUzibufX9xYPk3HD5p,74,0.667,0.755,9,-7.246,1,0.069,0.0966,6.94e-05,0.0523,0.883,109.535,286220,4
11,Bob Seger,Turn The Page - Live In Detroit/1975,657HzPo7RbwpUGhBS3SF4Q,14,0.535,0.372,9,-10.029,1,0.0352,0.156,0.0,0.6,0.266,78.856,301187,4
12,Ozzy Osbourne,Crazy Train,2b9lp5A6CqSzwOrBfAFhof,78,0.453,0.906,9,-4.001,1,0.115,0.361,0.000569,0.26,0.473,137.575,296200,4
13,Motörhead,Ace Of Spades,3RkS5epxKd1SFlDdLuKJMJ,13,0.337,0.993,3,-4.116,0,0.226,0.0236,0.000354,0.114,0.195,140.572,167053,4
14,Steve Miller Band,Fly Like An Eagle,3e0FzZjTXOUtiJGSClOBrI,69,0.561,0.754,9,-12.769,0,0.112,0.61,0.0194,0.328,0.642,100.08,282693,4
15,Boston,More Than a Feeling,32kgOw8wejH7zUhtXCM8DH,21,0.377,0.682,7,-8.039,1,0.0299,0.000894,0.00217,0.0504,0.288,108.736,285133,4
16,The Kinks,All Day and All of the Night,3okPiJwW5nCLpug12sCL4p,16,0.563,0.915,7,-5.062,1,0.08,0.247,8.46e-05,0.0613,0.71,136.345,142227,4
17,Black Sabbath,Iron Man - 2014 Remaster,3IOQZRcEkplCXg6LofKqE9,67,0.336,0.792,9,-10.875,1,0.0848,0.00349,0.00178,0.0437,0.425,155.588,355304,4
18,The Who,Won't Get Fooled Again - Original Album Version,7iLGljK0LNpGamQQEOuCRC,15,0.686,0.92,2,-6.231,1,0.0566,0.301,0.27,0.0807,0.225,135.027,511400,4
19,Black Sabbath,Paranoid,1Ly0ssAgeM7YqdHptao8Oe,15,0.426,0.619,4,-11.501,0,0.0722,8.44e-05,0.00239,0.17,0.382,162.721,168440,4
20,Blue Öyster Cult,(Don't Fear) The Reaper,5QTxFnGygVM4jFQiBovmRo,77,0.333,0.927,9,-8.55,0,0.0733,0.0029,0.000211,0.297,0.382,141.47,308120,4
21,Dire Straits,Sultans of Swing,6cr6UDpkjEaMQ80OjWqEBQ,67,0.73,0.868,5,-7.325,1,0.0288,0.0632,0.0661,0.318,0.923,148.217,350400,4
22,Bob Seger,Old Time Rock & Roll,1lhpxZT57yw5toGJtt8fGE,19,0.713,0.931,6,-2.965,1,0.0394,0.219,0.0,0.0694,0.963,124.127,194147,4
23,ZZ Top,Sharp Dressed Man - 2008 Remaster,1UBQ5GK8JaQjm5VbkBZY66,74,0.601,0.859,5,-5.263,1,0.0276,0.000359,0.00124,0.0871,0.446,125.145,258027,4
24,The Doobie Brothers,Long Train Runnin',4nXkbcTj3nyww1cHkw5RAP,72,0.575,0.912,7,-7.275,0,0.0393,0.0916,0.00211,0.0562,0.843,117.399,207267,4
25,The Who,Who Are You,3x2bXiU0o4WbsPkawXlfDA,18,0.651,0.661,9,-11.405,1,0.0511,0.265,0.00313,0.106,0.489,156.371,378707,4
26,Bob Dylan,"Baby, Let Me Follow You Down - Live at Royal Albert Hall, London, UK - May 26, 1966",3MHwnlgUI6R1wSamJ60Mi2,60,0.289,0.902,2,-8.442,1,0.137,0.263,0.00497,0.584,0.335,136.315,223333,4
27,Eagles,Hotel California - 2013 Remaster,40riOy7x9W7GXjyGp4pjAv,83,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,391376,4
28,Heart,Barracuda,4KfSdst7rW39C0sfhArdrz,75,0.547,0.691,4,-13.553,0,0.0369,0.015,0.105,0.144,0.667,137.148,261933,4
29,Boston,Peace of Mind,3sY6z4pGcxpMwx3W026WtU,13,0.421,0.677,4,-6.183,1,0.0343,0.000989,9.65e-05,0.211,0.683,127.67,303587,4
30,The Hollies,Long Cool Woman (In a Black Dress) - 1999 Remaster,5UwbnHhjnbinJH8TefuQfN,64,0.757,0.868,9,-9.326,1,0.062,0.411,0.00221,0.355,0.815,138.923,199200,4
31,The Marshall Tucker Band,Can't You See,0N0q5D8KmH13mmODXJsJqS,15,0.407,0.706,7,-5.526,1,0.0348,0.254,0.00693,0.125,0.54,164.022,361227,4
32,Bob Seger,Still The Same,5uujhDA7WTFfGBkLh491KI,17,0.71,0.763,0,-6.693,1,0.0279,0.402,9.63e-05,0.0581,0.508,115.579,203547,4
33,Queen,We Will Rock You - Remastered,54flyrjcdnQdco7300avMJ,72,0.693,0.497,2,-7.316,1,0.119,0.679,0.0,0.258,0.473,81.308,122067,4
