,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Keala Settle,This Is Me,45aBsnKRWUzhwbcqOJLwfe,79,0.284,0.704,2,-7.276,1,0.186,0.00583,0.000115,0.0424,0.1,191.702,234707,4
1,Loren Allred,Never Enough,0Gl5s8IhMmQE5YQwM8Qx1J,78,0.277,0.394,8,-8.903,1,0.0336,0.423,0.0,0.0952,0.227,86.777,207787,3
2,Zac Efron,Rewrite The Stars,65fpYBrI8o2cfrwf2US4gq,78,0.684,0.619,10,-7.005,1,0.0386,0.0716,0.0,0.122,0.284,125.046,217440,4
3,Logic,1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,82,0.62,0.574,5,-7.788,0,0.0479,0.57,0.0,0.19,0.352,100.021,250173,4
4,Macklemore,Glorious (feat. Skylar Grey),0CokSRCu5hZgPxcZBaEzVE,78,0.731,0.794,0,-5.126,0,0.0522,0.0323,2.59e-05,0.112,0.356,139.994,220454,4
5,OneRepublic,No Vacancy,4QeoDcR16IHpmmgFGQDrCp,65,0.72,0.727,5,-3.882,1,0.0489,0.0556,0.0,0.138,0.481,99.994,223190,4
6,Cheat Codes,Feels Great (feat. Fetty Wap & CVBZ),5uu28fUesZMl89lf9CLrgN,65,0.522,0.833,0,-3.715,1,0.0575,0.0454,0.0,0.127,0.296,180.009,193569,4
7,Niall Horan,Slow Hands,27vTihlWXiz9f9lJM3XGVU,65,0.735,0.423,0,-6.652,1,0.0459,0.011,0.0,0.0553,0.85,85.899,188174,4
8,Bebe Rexha,The Way I Are (Dance with Somebody) (feat. Lil Wayne) - Spotify Version,6Pw3Gvw4wNMZfTYZa6IQal,10,0.466,0.659,2,-6.077,1,0.115,0.00282,0.0,0.273,0.36,186.169,187787,4
9,Loote,High Without Your Love,7qs2GAglLWfxEfmO8u2u0A,2,0.87,0.496,5,-5.849,1,0.0741,0.113,0.0,0.134,0.778,102.015,191240,4
10,Halsey,Now Or Never,7i2DJ88J7jQ8K7zqFX2fW8,73,0.67,0.585,6,-4.861,0,0.0354,0.107,1.11e-06,0.131,0.447,110.03,214802,4
11,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,84,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000,4
12,The Chainsmokers,Something Just Like This,6RUKPb4LETWmmr3iAEQktW,84,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160,4
13,Shawn Hook,Reminding Me,6n72bDAxbWOkWaJnlfQfIZ,59,0.569,0.564,9,-4.856,0,0.0429,0.0897,0.0,0.0816,0.254,132.794,209924,4
14,Zedd,Stay,6uBhi9gBXWjanegOb2Phh0,80,0.69,0.622,5,-5.025,0,0.0622,0.253,0.0,0.116,0.544,102.04,210091,4
15,Harry Styles,Sign of the Times,5Ohxk2dO5COHF1krpoPigN,80,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972,340707,4
16,Ed Sheeran,Perfect,0tgVpDi06FyKpA1z0VMD4v,88,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,263400,3
17,Lady Antebellum,Need You Now,11EX5yhxr9Ihl3IN1asrfK,69,0.587,0.622,4,-5.535,1,0.0303,0.0927,0.000636,0.2,0.231,107.943,277573,4
18,Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,78,0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03,193613,4
19,Miley Cyrus,Party In The U.S.A.,5Q0Nhxo0l2bP3pNjpGJwV1,75,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,202067,4
20,Selena Gomez,Bad Liar,2fZQIJew3nkNe99s2PKzul,75,0.965,0.414,1,-6.408,1,0.0713,0.189,0.0,0.0767,0.728,121.032,214648,4
21,Jessie J,Masterpiece,4PYiIgzcp4o5pEYji1xY9q,63,0.661,0.733,0,-2.701,0,0.0433,0.0153,0.0,0.0982,0.613,143.92,220653,4
22,Kendrick Lamar,LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,81,0.8,0.585,10,-7.343,1,0.0924,0.264,0.0,0.153,0.779,126.058,213400,4
23,Sam Smith,Too Good At Goodbyes,3VlbOrM6nYPprVvzBZllE5,78,0.681,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873,201000,4
24,Charlie Puth,Attention,5cF0dROlMOK5uNZtivgu50,83,0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,208787,4
25,Martin Garrix,There for You,6jA8HL9i4QGzsj6fjoxp8Y,75,0.611,0.644,6,-7.607,0,0.0553,0.124,0.0,0.124,0.13,105.969,221904,4
26,Nelly Furtado,Promiscuous,47aQT2aV12TyilaoYi1NiD,67,0.795,0.978,10,-6.097,0,0.0459,0.046,8.29e-05,0.143,0.843,114.321,242200,4
27,French Montana,Unforgettable,3B54sVLJ402zGa6Xm4YGNe,83,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,233902,4
