,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Bazzi,Honest,11Tfh16o0SW8KdiQdeESEX,71,0.677,0.594,7,-6.264,1,0.0695,0.309,0.0,0.118,0.427,76.996,175093,4
1,Terror Jr,Death Wish,0KazFGgSfTa8soo2eEnuvK,42,0.749,0.434,3,-9.638,1,0.0531,0.424,2.11e-05,0.105,0.465,154.979,176386,4
2,SEVENTEEN,Don't Wanna Cry,6Upu6yjkdi0DVI8E3IBZEU,69,0.781,0.683,0,-4.258,1,0.0325,0.164,1.53e-06,0.16,0.722,100.005,203427,4
3,Kiiara,Say anymore,1g1rEUXaYZOgBcEA2sY6f5,40,0.89,0.743,3,-4.993,0,0.049,0.129,1.75e-05,0.0642,0.634,116.992,168205,4
4,Keri Hilson,Pretty Girl Rock,4tQJCU21DRbufw4un6b8g4,35,0.677,0.873,11,-5.471,0,0.247,0.185,0.0,0.123,0.904,160.041,256133,4
5,Why Don't We,8 Letters,6AkFxZzBfyzV5RF7mGkASM,13,0.607,0.478,1,-5.702,0,0.031,0.649,0.0,0.0928,0.255,88.979,190027,4
6,Post Malone,Psycho (feat. Ty Dolla $ign),65NwOZqoXny4JxqAPlfxRF,10,0.74,0.558,8,-8.115,1,0.102,0.566,0.0,0.112,0.421,140.057,220880,4
7,Burak Yeter,GO 2.0 - James Bluck Remix,4snoJ9toqunnbDsZOn9iJF,35,0.654,0.912,5,-4.079,1,0.0408,0.0054,0.000151,0.34,0.307,126.073,144399,4
8,Martin Garrix,So Far Away (feat. Jamie Scott & Romy Dya),0OlnLZY4cmQzT6ZGttvWBM,74,0.526,0.52,6,-7.985,0,0.0569,0.435,0.0,0.197,0.13,149.119,183637,4
9,Cashmere Cat,Miss You (with Major Lazer & Tory Lanez),7HdZY9UJTylIiNcSDFyUDc,64,0.747,0.641,1,-4.502,1,0.0925,0.25,0.00107,0.106,0.453,100.028,186231,4
10,Jonas Blue,Fast Car,2mCF8L0brIs88eH6Kf2h9p,69,0.644,0.57,9,-6.994,1,0.052,0.484,0.0,0.299,0.527,113.945,212424,4
11,Maggie Lindemann,Obsessed,1eN1K7YPRButXU7Mq0V58N,64,0.822,0.575,6,-4.587,0,0.0464,0.0182,4.45e-05,0.109,0.286,110.028,184515,4
12,Carly Rae Jepsen,Cut To The Feeling,6EJiVf7U0p1BBfs0qqeb1f,69,0.71,0.909,2,-2.777,1,0.0639,0.0135,0.00123,0.303,0.648,115.001,207960,4
13,Zac Efron,Rewrite The Stars,65fpYBrI8o2cfrwf2US4gq,78,0.684,0.619,10,-7.005,1,0.0386,0.0716,0.0,0.122,0.284,125.046,217440,4
14,Kiiara,Hang up tha phone,3Y6edSmA3oflGDEKyTnOpu,45,0.447,0.457,3,-7.142,1,0.151,0.76,0.0046,0.0972,0.521,129.718,220615,4
15,Dragon Pig,All About You,5VeblB0ritE5Q31M8Hva9r,52,0.749,0.634,1,-4.192,0,0.193,0.143,0.0,0.226,0.631,94.952,203625,4
16,R3HAB,I Just Can't,4Ux0Y0eQYv4HJPvuxioosx,58,0.652,0.595,6,-6.944,0,0.0419,0.162,0.0,0.148,0.303,77.538,156000,4
17,Khalid,Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,81,0.708,0.648,6,-5.626,1,0.0449,0.0956,0.0,0.134,0.338,143.955,201707,4
18,Steve Aoki,Just Hold On,3EmmCZoqpWOTY1g2GBwJoR,69,0.647,0.932,11,-3.515,1,0.0824,0.00383,1.5e-06,0.0574,0.374,114.991,198774,4
19,Cheat Codes,Queen Elizabeth,7AsRAjp13OTva5JdDWCBn1,48,0.551,0.706,7,-5.249,1,0.0406,0.0249,0.0,0.0884,0.4,99.413,199393,4
20,Yassi Pressman,'Di Ko Alam,7xMl2a66sdP5mKEVQ4gxec,0,0.677,0.735,7,-4.262,1,0.139,0.498,0.0,0.412,0.638,83.031,216253,4
21,Halsey,Bad At Love,7y9iMe8SOB6z3NoHE2OfXl,78,0.675,0.751,0,-3.539,1,0.0296,0.0604,0.0,0.0893,0.612,118.384,181279,4
22,Diplo,Get It Right,4SoXQCrPQplashFebNaUw3,57,0.456,0.833,0,-4.242,1,0.0964,0.108,1.71e-05,0.0592,0.261,159.808,172500,4
23,Cash Cash,All My Love (feat. Conor Maynard),1839RWzPRZCVgvamu4sHSN,65,0.59,0.871,11,-3.353,0,0.0891,0.148,0.0,0.0739,0.304,134.956,191331,4
24,Lauv,Getting Over You,2BNkTvg1kHAAfGvqh56x5a,7,0.604,0.507,0,-7.928,1,0.0382,0.273,2.27e-06,0.0943,0.114,91.984,255886,4
25,Kiiara,Feels,1sx4GRirvsRPocH3W04e5a,54,0.651,0.377,1,-10.404,0,0.0811,0.427,3.68e-05,0.0936,0.401,123.999,182500,4
26,Jeremih,oui,0PJIbOdMs3bd5AT8liULMQ,76,0.418,0.724,5,-3.724,1,0.0964,0.213,0.0,0.112,0.604,78.521,238320,5
